wavelength	intensity	cleaned_intensity
387.958	4527.0	4527.0
387.997	4650.0	4650.0
388.036	4842.0	4842.0
388.075	4911.0	4911.0
388.114	5132.0	5132.0
388.153	5384.0	5384.0
388.192	5688.0	5688.0
388.231	6164.0	6164.0
388.269	6707.0	6707.0
388.308	7416.0	7416.0
388.347	8129.0	8129.0
388.386	9233.0	9233.0
388.425	10363.0	10363.0
388.464	11622.0	11622.0
388.503	12997.0	12997.0
388.542	13786.0	13786.0
388.581	14900.0	14900.0
388.62	15576.0	15576.0
388.659	16385.0	16385.0
388.698	16576.0	16576.0
388.737	16735.0	16735.0
388.776	16451.0	16451.0
388.815	16060.0	16060.0
388.853	15863.0	15863.0
388.892	15367.0	15367.0
388.931	14758.0	14758.0
388.97	14304.0	14304.0
389.009	13619.0	13619.0
389.048	13132.0	13132.0
389.087	13023.0	13023.0
389.126	12567.0	12567.0
389.165	12368.0	12368.0
389.204	11894.0	11894.0
389.242	11696.0	11696.0
389.281	11288.0	11288.0
389.32	11171.0	11171.0
389.359	11054.0	11054.0
389.398	10902.0	10902.0
389.437	10697.0	10697.0
389.476	10812.0	10812.0
389.515	10775.0	10775.0
389.554	10721.0	10721.0
389.592	10822.0	10822.0
389.631	10993.0	10993.0
389.67	11140.0	11140.0
389.709	11265.0	11265.0
389.748	11577.0	11577.0
389.787	11941.0	11941.0
389.826	12368.0	12368.0
389.864	12726.0	12726.0
389.903	13156.0	13156.0
389.942	13491.0	13491.0
389.981	13983.0	13983.0
390.02	14413.0	14413.0
390.059	14914.0	14914.0
390.098	15351.0	15351.0
390.136	15660.0	15660.0
390.175	15897.0	15897.0
390.214	16406.0	16406.0
390.253	16646.0	16646.0
390.292	16833.0	16833.0
390.331	16908.0	16908.0
390.369	16939.0	16939.0
390.408	17184.0	17184.0
390.447	17302.0	17302.0
390.486	17466.0	17466.0
390.525	17371.0	17371.0
390.563	17586.0	17586.0
390.602	17210.0	17210.0
390.641	17281.0	17281.0
390.68	17303.0	17303.0
390.719	17108.0	17108.0
390.757	17256.0	17256.0
390.796	17291.0	17291.0
390.835	17104.0	17104.0
390.874	16991.0	16991.0
390.913	16755.0	16755.0
390.951	17137.0	17137.0
390.99	16858.0	16858.0
391.029	16834.0	16834.0
391.068	16729.0	16729.0
391.107	16742.0	16742.0
391.145	16402.0	16402.0
391.184	16328.0	16328.0
391.223	16215.0	16215.0
391.262	16240.0	16240.0
391.3	16012.0	16012.0
391.339	15800.0	15800.0
391.378	15818.0	15818.0
391.417	15607.0	15607.0
391.455	15634.0	15634.0
391.494	15327.0	15327.0
391.533	15304.0	15304.0
391.572	15366.0	15366.0
391.611	15211.0	15211.0
391.649	15324.0	15324.0
391.688	14990.0	14990.0
391.727	15025.0	15025.0
391.765	14929.0	14929.0
391.804	14710.0	14710.0
391.843	14741.0	14741.0
391.882	14836.0	14836.0
391.92	14567.0	14567.0
391.959	14435.0	14435.0
391.998	14276.0	14276.0
392.037	14460.0	14460.0
392.075	14203.0	14203.0
392.114	14177.0	14177.0
392.153	13947.0	13947.0
392.191	14179.0	14179.0
392.23	14001.0	14001.0
392.269	13853.0	13853.0
392.308	14044.0	14044.0
392.346	13835.0	13835.0
392.385	13702.0	13702.0
392.424	13851.0	13851.0
392.462	13795.0	13795.0
392.501	13658.0	13658.0
392.54	13727.0	13727.0
392.578	13631.0	13631.0
392.617	13447.0	13447.0
392.656	13483.0	13483.0
392.694	13420.0	13420.0
392.733	13431.0	13431.0
392.772	13489.0	13489.0
392.811	13355.0	13355.0
392.849	13291.0	13291.0
392.888	13076.0	13076.0
392.927	13138.0	13138.0
392.965	13041.0	13041.0
393.004	13119.0	13119.0
393.043	12897.0	12897.0
393.081	12835.0	12835.0
393.12	12863.0	12863.0
393.158	12674.0	12674.0
393.197	12518.0	12518.0
393.236	12631.0	12631.0
393.274	12259.0	12259.0
393.313	12205.0	12205.0
393.352	12130.0	12130.0
393.39	12142.0	12142.0
393.429	11816.0	11816.0
393.468	11723.0	11723.0
393.506	11570.0	11570.0
393.545	11238.0	11238.0
393.583	11344.0	11344.0
393.622	11039.0	11039.0
393.661	10784.0	10784.0
393.699	10743.0	10743.0
393.738	10537.0	10537.0
393.777	10263.0	10263.0
393.815	10016.0	10016.0
393.854	9944.0	9944.0
393.892	9659.0	9659.0
393.931	9582.0	9582.0
393.97	9377.0	9377.0
394.008	9116.0	9116.0
394.047	8894.0	8894.0
394.085	8860.0	8860.0
394.124	8866.0	8866.0
394.163	8457.0	8457.0
394.201	8458.0	8458.0
394.24	8099.0	8099.0
394.278	8084.0	8084.0
394.317	7982.0	7982.0
394.355	7909.0	7909.0
394.394	7753.0	7753.0
394.433	7705.0	7705.0
394.471	7624.0	7624.0
394.51	7538.0	7538.0
394.548	7418.0	7418.0
394.587	7426.0	7426.0
394.625	7348.0	7348.0
394.664	7154.0	7154.0
394.703	7128.0	7128.0
394.741	7098.0	7098.0
394.78	6973.0	6973.0
394.818	6863.0	6863.0
394.857	6824.0	6824.0
394.895	6656.0	6656.0
394.934	6758.0	6758.0
394.972	6685.0	6685.0
395.011	6524.0	6524.0
395.049	6461.0	6461.0
395.088	6498.0	6498.0
395.126	6390.0	6390.0
395.165	6241.0	6241.0
395.204	6300.0	6300.0
395.242	6260.0	6260.0
395.281	6228.0	6228.0
395.319	6157.0	6157.0
395.358	6106.0	6106.0
395.396	5973.0	5973.0
395.435	5996.0	5996.0
395.473	5980.0	5980.0
395.512	5812.0	5812.0
395.55	6001.0	6001.0
395.589	5916.0	5916.0
395.627	5826.0	5826.0
395.666	5868.0	5868.0
395.704	5754.0	5754.0
395.743	5816.0	5816.0
395.781	5836.0	5836.0
395.82	5747.0	5747.0
395.858	5861.0	5861.0
395.897	5783.0	5783.0
395.935	5779.0	5779.0
395.973	5685.0	5685.0
396.012	5723.0	5723.0
396.05	5719.0	5719.0
396.089	5793.0	5793.0
396.127	5732.0	5732.0
396.166	5837.0	5837.0
396.204	5820.0	5820.0
396.243	5835.0	5835.0
396.281	5793.0	5793.0
396.32	5737.0	5737.0
396.358	5723.0	5723.0
396.396	5801.0	5801.0
396.435	5753.0	5753.0
396.473	5927.0	5927.0
396.512	5901.0	5901.0
396.55	5957.0	5957.0
396.589	6032.0	6032.0
396.627	6024.0	6024.0
396.666	6011.0	6011.0
396.704	5993.0	5993.0
396.742	5994.0	5994.0
396.781	6022.0	6022.0
396.819	6011.0	6011.0
396.858	5988.0	5988.0
396.896	6037.0	6037.0
396.934	6021.0	6021.0
396.973	5899.0	5899.0
397.011	6049.0	6049.0
397.05	5916.0	5916.0
397.088	5829.0	5829.0
397.126	5939.0	5939.0
397.165	5915.0	5915.0
397.203	5833.0	5833.0
